p225_022_sync|data\VCTK\test_data\p225_022.wav|data\VCTK\vctk-16k\p292\p292_025.wav
p275_016_sync|data\VCTK\test_data\p275_016.wav|data\VCTK\vctk-16k\p300\p300_209.wav
p275_037_sync|data\VCTK\test_data\p275_037.wav|data\VCTK\vctk-16k\p308\p308_250.wav
p275_237_sync|data\VCTK\test_data\p275_237.wav|data\VCTK\vctk-16k\p287\p287_302.wav
p275_280_sync|data\VCTK\test_data\p275_280.wav|data\VCTK\vctk-16k\p334\p334_052.wav
p276_086_sync|data\VCTK\test_data\p276_086.wav|data\VCTK\vctk-16k\p308\p308_194.wav
p276_257_sync|data\VCTK\test_data\p276_257.wav|data\VCTK\vctk-16k\p240\p240_097.wav
p276_465_sync|data\VCTK\test_data\p276_465.wav|data\VCTK\vctk-16k\p323\p323_077.wav
p277_259_sync|data\VCTK\test_data\p277_259.wav|data\VCTK\vctk-16k\p292\p292_056.wav
p278_042_sync|data\VCTK\test_data\p278_042.wav|data\VCTK\vctk-16k\p287\p287_133.wav
p278_063_sync|data\VCTK\test_data\p278_063.wav|data\VCTK\vctk-16k\p304\p304_213.wav
p278_327_sync|data\VCTK\test_data\p278_327.wav|data\VCTK\vctk-16k\p364\p364_269.wav
p278_374_sync|data\VCTK\test_data\p278_374.wav|data\VCTK\vctk-16k\p229\p229_355.wav
p279_075_sync|data\VCTK\test_data\p279_075.wav|data\VCTK\vctk-16k\p300\p300_387.wav
p279_149_sync|data\VCTK\test_data\p279_149.wav|data\VCTK\vctk-16k\p229\p229_095.wav
p281_009_sync|data\VCTK\test_data\p281_009.wav|data\VCTK\vctk-16k\p287\p287_287.wav
p281_138_sync|data\VCTK\test_data\p281_138.wav|data\VCTK\vctk-16k\p240\p240_171.wav
p281_145_sync|data\VCTK\test_data\p281_145.wav|data\VCTK\vctk-16k\p240\p240_009.wav
p281_227_sync|data\VCTK\test_data\p281_227.wav|data\VCTK\vctk-16k\p308\p308_113.wav
p281_318_sync|data\VCTK\test_data\p281_318.wav|data\VCTK\vctk-16k\p300\p300_016.wav
p281_319_sync|data\VCTK\test_data\p281_319.wav|data\VCTK\vctk-16k\p336\p336_156.wav
p281_422_sync|data\VCTK\test_data\p281_422.wav|data\VCTK\vctk-16k\p364\p364_193.wav
p281_434_sync|data\VCTK\test_data\p281_434.wav|data\VCTK\vctk-16k\p308\p308_217.wav
p281_449_sync|data\VCTK\test_data\p281_449.wav|data\VCTK\vctk-16k\p300\p300_294.wav
p282_085_sync|data\VCTK\test_data\p282_085.wav|data\VCTK\vctk-16k\p300\p300_047.wav
p282_256_sync|data\VCTK\test_data\p282_256.wav|data\VCTK\vctk-16k\p229\p229_253.wav
p282_278_sync|data\VCTK\test_data\p282_278.wav|data\VCTK\vctk-16k\p336\p336_416.wav
p282_299_sync|data\VCTK\test_data\p282_299.wav|data\VCTK\vctk-16k\p334\p334_351.wav
p283_123_sync|data\VCTK\test_data\p283_123.wav|data\VCTK\vctk-16k\p300\p300_135.wav
p283_393_sync|data\VCTK\test_data\p283_393.wav|data\VCTK\vctk-16k\p323\p323_082.wav
p284_076_sync|data\VCTK\test_data\p284_076.wav|data\VCTK\vctk-16k\p323\p323_094.wav
p284_130_sync|data\VCTK\test_data\p284_130.wav|data\VCTK\vctk-16k\p300\p300_208.wav
p284_256_sync|data\VCTK\test_data\p284_256.wav|data\VCTK\vctk-16k\p323\p323_202.wav
p284_350_sync|data\VCTK\test_data\p284_350.wav|data\VCTK\vctk-16k\p364\p364_137.wav
p284_395_sync|data\VCTK\test_data\p284_395.wav|data\VCTK\vctk-16k\p229\p229_138.wav
p285_061_sync|data\VCTK\test_data\p285_061.wav|data\VCTK\vctk-16k\p336\p336_035.wav
p285_156_sync|data\VCTK\test_data\p285_156.wav|data\VCTK\vctk-16k\p287\p287_129.wav
p285_183_sync|data\VCTK\test_data\p285_183.wav|data\VCTK\vctk-16k\p336\p336_074.wav
p285_199_sync|data\VCTK\test_data\p285_199.wav|data\VCTK\vctk-16k\p240\p240_017.wav
p286_439_sync|data\VCTK\test_data\p286_439.wav|data\VCTK\vctk-16k\p229\p229_054.wav
p287_069_sync|data\VCTK\test_data\p287_069.wav|data\VCTK\vctk-16k\p299\p299_107.wav
p287_102_sync|data\VCTK\test_data\p287_102.wav|data\VCTK\vctk-16k\p287\p287_176.wav
p287_110_sync|data\VCTK\test_data\p287_110.wav|data\VCTK\vctk-16k\p229\p229_315.wav
p287_228_sync|data\VCTK\test_data\p287_228.wav|data\VCTK\vctk-16k\p299\p299_311.wav
p287_281_sync|data\VCTK\test_data\p287_281.wav|data\VCTK\vctk-16k\p336\p336_267.wav
p287_305_sync|data\VCTK\test_data\p287_305.wav|data\VCTK\vctk-16k\p229\p229_176.wav
p287_352_sync|data\VCTK\test_data\p287_352.wav|data\VCTK\vctk-16k\p308\p308_128.wav
p288_103_sync|data\VCTK\test_data\p288_103.wav|data\VCTK\vctk-16k\p300\p300_059.wav
p288_268_sync|data\VCTK\test_data\p288_268.wav|data\VCTK\vctk-16k\p229\p229_269.wav
p288_288_sync|data\VCTK\test_data\p288_288.wav|data\VCTK\vctk-16k\p336\p336_144.wav
p292_071_sync|data\VCTK\test_data\p292_071.wav|data\VCTK\vctk-16k\p229\p229_381.wav
p292_234_sync|data\VCTK\test_data\p292_234.wav|data\VCTK\vctk-16k\p323\p323_406.wav
p292_251_sync|data\VCTK\test_data\p292_251.wav|data\VCTK\vctk-16k\p304\p304_154.wav
p292_266_sync|data\VCTK\test_data\p292_266.wav|data\VCTK\vctk-16k\p304\p304_397.wav
p293_104_sync|data\VCTK\test_data\p293_104.wav|data\VCTK\vctk-16k\p308\p308_114.wav
p293_389_sync|data\VCTK\test_data\p293_389.wav|data\VCTK\vctk-16k\p300\p300_164.wav
p294_228_sync|data\VCTK\test_data\p294_228.wav|data\VCTK\vctk-16k\p323\p323_136.wav
p294_247_sync|data\VCTK\test_data\p294_247.wav|data\VCTK\vctk-16k\p334\p334_369.wav
p294_331_sync|data\VCTK\test_data\p294_331.wav|data\VCTK\vctk-16k\p304\p304_313.wav
p294_345_sync|data\VCTK\test_data\p294_345.wav|data\VCTK\vctk-16k\p364\p364_299.wav
p295_060_sync|data\VCTK\test_data\p295_060.wav|data\VCTK\vctk-16k\p336\p336_423.wav
p297_107_sync|data\VCTK\test_data\p297_107.wav|data\VCTK\vctk-16k\p229\p229_300.wav
p298_103_sync|data\VCTK\test_data\p298_103.wav|data\VCTK\vctk-16k\p300\p300_215.wav
p298_222_sync|data\VCTK\test_data\p298_222.wav|data\VCTK\vctk-16k\p323\p323_417.wav
p298_325_sync|data\VCTK\test_data\p298_325.wav|data\VCTK\vctk-16k\p364\p364_213.wav
p298_336_sync|data\VCTK\test_data\p298_336.wav|data\VCTK\vctk-16k\p334\p334_270.wav
p300_108_sync|data\VCTK\test_data\p300_108.wav|data\VCTK\vctk-16k\p334\p334_373.wav
p300_222_sync|data\VCTK\test_data\p300_222.wav|data\VCTK\vctk-16k\p308\p308_023.wav
p300_361_sync|data\VCTK\test_data\p300_361.wav|data\VCTK\vctk-16k\p364\p364_012.wav
p301_018_sync|data\VCTK\test_data\p301_018.wav|data\VCTK\vctk-16k\p229\p229_284.wav
p301_206_sync|data\VCTK\test_data\p301_206.wav|data\VCTK\vctk-16k\p300\p300_258.wav
p302_248_sync|data\VCTK\test_data\p302_248.wav|data\VCTK\vctk-16k\p364\p364_062.wav
p303_044_sync|data\VCTK\test_data\p303_044.wav|data\VCTK\vctk-16k\p304\p304_246.wav
p303_054_sync|data\VCTK\test_data\p303_054.wav|data\VCTK\vctk-16k\p364\p364_020.wav
p303_105_sync|data\VCTK\test_data\p303_105.wav|data\VCTK\vctk-16k\p334\p334_204.wav
p303_251_sync|data\VCTK\test_data\p303_251.wav|data\VCTK\vctk-16k\p364\p364_283.wav
p304_095_sync|data\VCTK\test_data\p304_095.wav|data\VCTK\vctk-16k\p308\p308_388.wav
p304_264_sync|data\VCTK\test_data\p304_264.wav|data\VCTK\vctk-16k\p292\p292_050.wav
p304_410_sync|data\VCTK\test_data\p304_410.wav|data\VCTK\vctk-16k\p323\p323_115.wav
p305_066_sync|data\VCTK\test_data\p305_066.wav|data\VCTK\vctk-16k\p304\p304_278.wav
p305_109_sync|data\VCTK\test_data\p305_109.wav|data\VCTK\vctk-16k\p364\p364_027.wav
p305_178_sync|data\VCTK\test_data\p305_178.wav|data\VCTK\vctk-16k\p304\p304_231.wav
p306_231_sync|data\VCTK\test_data\p306_231.wav|data\VCTK\vctk-16k\p336\p336_256.wav
p306_284_sync|data\VCTK\test_data\p306_284.wav|data\VCTK\vctk-16k\p300\p300_376.wav
p306_293_sync|data\VCTK\test_data\p306_293.wav|data\VCTK\vctk-16k\p300\p300_213.wav
p306_325_sync|data\VCTK\test_data\p306_325.wav|data\VCTK\vctk-16k\p292\p292_080.wav
p307_354_sync|data\VCTK\test_data\p307_354.wav|data\VCTK\vctk-16k\p334\p334_319.wav
p307_363_sync|data\VCTK\test_data\p307_363.wav|data\VCTK\vctk-16k\p287\p287_036.wav
p307_397_sync|data\VCTK\test_data\p307_397.wav|data\VCTK\vctk-16k\p287\p287_187.wav
p307_412_sync|data\VCTK\test_data\p307_412.wav|data\VCTK\vctk-16k\p300\p300_084.wav
p308_173_sync|data\VCTK\test_data\p308_173.wav|data\VCTK\vctk-16k\p292\p292_073.wav
p308_202_sync|data\VCTK\test_data\p308_202.wav|data\VCTK\vctk-16k\p323\p323_027.wav
p308_263_sync|data\VCTK\test_data\p308_263.wav|data\VCTK\vctk-16k\p229\p229_251.wav
p308_292_sync|data\VCTK\test_data\p308_292.wav|data\VCTK\vctk-16k\p240\p240_295.wav
p308_323_sync|data\VCTK\test_data\p308_323.wav|data\VCTK\vctk-16k\p304\p304_308.wav
p310_092_sync|data\VCTK\test_data\p310_092.wav|data\VCTK\vctk-16k\p304\p304_186.wav
